Gender Rank,Occupation,Gender,Individuals,Average Taxable Income $,,,,
391,Announcer - radio; Disc jockey - other than nightclub; Newsreader - radio; Radio announcer; Radio presenter,Female,529.00,57658.00,,,,
363,Announcer - radio; Disc jockey - other than nightclub; Newsreader - radio; Radio announcer; Radio presenter,Male,1129.00,75167.00,,,,
733,Antique dealer,Female,23.00,39309.00,,,,
874,Antique dealer,Male,70.00,41229.00,,,,
816,Apiarist,Female,37.00,35054.00,,,,
890,Apiarist,Male,221.00,40320.00,,,,
762,Apparel cutter,Female,53.00,38096.00,,,,
860,Apparel cutter,Male,57.00,42189.00,,,,
132,Applications programmer; Computer programmer; Developer programmer; Systems programmer - computing,Female,5059.00,80257.00,,,,
206,Applications programmer; Computer programmer; Developer programmer; Systems programmer - computing,Male,23875.00,93411.00,,,,
958,Apprentice or trainee - agricultural technician,Female,40.00,29603.00,,,,
983,Apprentice or trainee - agricultural technician,Male,288.00,33811.00,,,,
917,Apprentice or trainee - airconditioning and refrigeration mechanic,Female,14.00,31574.00,,,,
960,Apprentice or trainee - airconditioning and refrigeration mechanic,Male,2395.00,35643.00,,,,
921,Apprentice or trainee - aircraft maintenance engineer,Female,20.00,31379.00,,,,
895,Apprentice or trainee - aircraft maintenance engineer,Male,395.00,39995.00,,,,
932,Apprentice or trainee - animal attendant,Female,53.00,30942.00,,,,
1010,Apprentice or trainee - animal attendant,Male,23.00,31701.00,,,,
441,Apprentice or trainee - autoglazier,Female,3.00,54397.00,,,,
963,Apprentice or trainee - autoglazier,Male,138.00,35143.00,,,,
947,Apprentice or trainee - automotive Apprentice or trainee - other,Female,83.00,30108.00,,,,
1002,Apprentice or trainee - automotive Apprentice or trainee - other,Male,2517.00,32491.00,,,,
671,Apprentice or trainee - automotive electrician,Female,44.00,42228.00,,,,
919,Apprentice or trainee - automotive electrician,Male,968.00,37897.00,,,,
955,Apprentice or trainee - automotive mechanic,Female,260.00,29842.00,,,,
1013,Apprentice or trainee - automotive mechanic,Male,8997.00,31585.00,,,,
985,Apprentice or trainee - baker or pastrycook,Female,515.00,28219.00,,,,
1048,Apprentice or trainee - baker or pastrycook,Male,1277.00,28157.00,,,,
1038,Apprentice or trainee - beauty therapist,Female,279.00,25066.00,,,,
1098,Apprentice or trainee - beauty therapist,Male,6.00,20771.00,,,,
1010,Apprentice or trainee - boat builder or shipwright,Female,4.00,26508.00,,,,
1018,Apprentice or trainee - boat builder or shipwright,Male,186.00,31113.00,,,,
