Year,Month,Gold Price,Oil Price,CPI
2012,July,1622.00,88.06,228.59
2012,August,1648.50,96.47,229.92
2012,September,1776.00,92.19,231.02
2012,October,1719.00,86.24,231.64
2012,November,1726.00,88.91,231.25
2012,December,1657.50,91.82,231.22
2013,January,1664.80,97.49,231.61
2013,February,1588.50,92.05,232.99
2013,March,1598.30,97.23,232.3
2013,April,1469.00,93.46,231.8
2013,May,1394.50,91.97,231.92
2013,June,1192.00,96.56,232.37
2013,July,1314.50,105.03,232.89
2013,August,1394.80,107.65,233.32
2013,September,1326.50,102.33,233.63
2013,October,1324.00,96.38,233.72
2013,November,1253.00,92.72,234.12
2013,December,1204.50,98.42,234.72
2014,January,1251.00,97.49,235.39
2014,February,1326.50,102.59,235.67
2014,March,1291.80,101.58,235.98
2014,April,1288.50,99.74,236.47
2014,May,1250.50,102.71,236.83
2014,June,1315.00,105.37,237.03
2014,July,1285.30,98.17,237.42
2014,August,1285.80,95.96,237.26
2014,September,1216.50,91.16,237.49
2014,October,1164.30,80.54,237.51
2014,November,1182.80,66.15,237.12
2014,December,1206.00,53.27,236.29
2015,January,1260.30,48.24,234.91
2015,February,1214.00,49.76,235.49
2015,March,1187.00,47.6,235.99
2015,April,1180.30,59.63,236.2
2015,May,1191.40,60.3,236.89
2015,June,1171.00,59.47,237.42
2015,July,1098.40,47.12,237.88
2015,August,1135.00,49.2,237.81
2015,September,1114.00,45.09,237.47
2015,October,1142.35,46.59,237.79
2015,November,1061.90,41.65,238.15
2015,December,1060.00,37.04,237.85
2016,January,1111.80,33.62,238.11
2016,February,1234.90,33.75,237.81
2016,March,1237.00,38.34,238.08
2016,April,1285.65,45.92,238.91
2016,May,1212.10,49.1,239.36
2016,June,1320.75,48.33,239.84
2016,July,1342.00,41.6,239.9
2016,August,1309.25,44.7,240.39
2016,September,1322.50,48.24,241.01
2016,October,1272.00,46.86,241.69
2016,November,1178.10,49.44,242.2
2016,December,1145.90,53.72,242.82
2017,January,1212.80,52.81,244.16
2017,February,1255.60,54.01,244.46
2017,March,1244.90,50.6,
